config,N,K,p,arm,chi,n_eff,entropy
paper defaults,200,4,0.3,social,0.580956402268197,0.7476577706313844,0.8641226380485426
paper defaults,200,4,0.3,social,0.26427183013020916,0.9347195596542792,0.9731228194476969
paper defaults,200,4,0.3,social,0.4581908296569484,0.8264880586777947,0.9324509716747524
paper defaults,200,4,0.3,social,0.27940241993373394,0.9275872413186909,0.9662022405890514
paper defaults,200,4,0.3,social,0.7439847771359372,0.6437022256002753,0.8113487537592737
paper defaults,200,4,0.3,social,0.7483509230755624,0.6410136819834493,0.7183206807712327
paper defaults,200,4,0.3,social,0.5344985718788063,0.7777932417434562,0.9032929302613879
paper defaults,200,4,0.3,social,0.6419232490622626,0.7081824674319791,0.7374949723801916
paper defaults,200,4,0.3,social,0.5935611562640922,0.7394727661173663,0.861804760416842
paper defaults,200,4,0.3,social,0.5402377969894439,0.7740795575537018,0.8838440707205908
paper defaults,200,4,0.3,social,0.3685418205910011,0.88041881108907,0.8996763895710963
paper defaults,200,4,0.3,social,0.6811534116323412,0.683074120624315,0.8664797127277376
paper defaults,200,4,0.3,social,0.5338882843308972,0.7781878913548139,0.9103735665204153
paper defaults,200,4,0.3,shuffled,0.46463609155289654,0.8224450534705415,0.9078314890233429
paper defaults,200,4,0.3,shuffled,0.1840652495846948,0.9672302244197304,0.9872448688939521
paper defaults,200,4,0.3,shuffled,0.2724408591234684,0.9309045225025839,0.9736113006963024
paper defaults,200,4,0.3,shuffled,0.39966675397835255,0.8622670533576178,0.9536850366201524
paper defaults,200,4,0.3,shuffled,0.40705689372357745,0.8578570981332573,0.876934890584421
paper defaults,200,4,0.3,shuffled,0.6156954460638415,0.725120631307354,0.8902958093889027
paper defaults,200,4,0.3,shuffled,0.34315567491809107,0.8946497835990068,0.9510020229317789
paper defaults,200,4,0.3,shuffled,0.5348051720581124,0.7775949561816851,0.8662269549260662
paper defaults,200,4,0.3,shuffled,0.4509148974517884,0.831031207397288,0.8975898605046017
paper defaults,200,4,0.3,shuffled,0.43618770544715263,0.8401527733114638,0.946690920690861
paper defaults,200,4,0.3,shuffled,0.38293180449684866,0.8721157640075804,0.9495729818563312
paper defaults,200,4,0.3,shuffled,0.2106393825715491,0.9575160200695497,0.9832288859800878
paper defaults,200,4,0.3,shuffled,0.6907779730792738,0.6769682238711622,0.840007096392273
paper defaults,200,4,0.3,shuffled,0.17866418231079248,0.9690665337344586,0.9859693355480182
paper defaults,200,4,0.3,shuffled,0.06324740758794895,0.9960157035537716,0.9981506568678653
paper defaults,200,4,0.3,shuffled,0.48959818159385393,0.8066426184463502,0.9093243090812715
paper defaults,200,4,0.3,shuffled,0.2677598233628164,0.9331010209076007,0.974580443616706
paper defaults,200,4,0.3,shuffled,0.21631542238044416,0.9552992898495811,0.9850642525932293
paper defaults,200,4,0.3,shuffled,0.7584972900077654,0.6347924113075267,0.7915521019020461
paper defaults,200,4,0.3,shuffled,0.8257092634831678,0.5946025119417063,0.7697046875368893
paper defaults,200,4,0.3,shuffled,0.5824945500477241,0.7466587575914218,0.8943128698582947
paper defaults,200,4,0.3,shuffled,0.5256530117968858,0.7835080402940663,0.9142717901012093
paper defaults,200,4,0.3,shuffled,0.4975493195413323,0.8015676576897109,0.892327079343637
paper defaults,200,4,0.3,shuffled,0.5831175452751458,0.7462541372797608,0.8906212431097252
paper defaults,200,4,0.3,shuffled,0.3552986618911382,0.8879124699813704,0.9408392780359643
paper defaults,200,4,0.3,shuffled,0.46824220544493667,0.8201758246780426,0.9238782729180858
paper defaults,200,4,0.3,shuffled,0.663235310635328,0.6945018000330495,0.788538663786794
