N,K,p,cv_bc,bc_min,bc_max,w_ratio,rel_shift
200,4,0.3,0.6479264278033542,0.0,0.05569192454958181,8297990.487057371,0.25020807696986613
60,5,0.1,0.8279801621386839,0.005235613629827538,0.21460714778051784,7.3832267264747715,0.305544374083947
150,5,0.1,0.8878031149518127,0.0,0.15795393892396323,15417652.011660226,0.2962786170125013
200,4,0.0,2.304599035276574e-16,0.12311557788944721,0.12311557788944726,1.0,3.075402116651669e-17
200,4,1.0,0.8586250613455491,0.0,0.09245377659126439,1943343.6783162497,0.2806998030117401
200,10,0.3,0.4984106419658939,0.0016375369398053273,0.02624021357446413,5.274995584644761,0.14468860464245625
200,20,0.3,0.32803692628012493,0.001268398294499944,0.013130097751100012,4.374358833723767,0.07001027083928413
