variant,fid,dim,seed,error,seconds
ads,10,10,0,12868.197141848204,5.705
ads,10,10,1,4816.986346286011,5.672
ads,10,10,10,15786.768764522061,5.773
ads,10,10,11,12716.312122810596,5.898
ads,10,10,12,16413.96780712693,5.506
ads,10,10,13,10592.421558621547,5.602
ads,10,10,14,4221.938140819626,5.751
ads,10,10,15,7340.696481600735,6.056
ads,10,10,16,7676.006502248723,5.727
ads,10,10,17,15967.462034697506,6.07
ads,10,10,18,14263.78932102947,5.746
ads,10,10,19,8421.817834487692,5.594
ads,10,10,2,13570.685240334886,5.677
ads,10,10,20,18657.223371702847,5.626
ads,10,10,21,11904.30926894373,5.978
ads,10,10,22,14728.476505394912,5.81
ads,10,10,23,7215.146421020963,6.044
ads,10,10,24,3718.83473555789,5.635
ads,10,10,25,9169.423133508277,5.654
ads,10,10,26,8507.722265132263,5.774
ads,10,10,27,8770.498800629048,5.794
ads,10,10,28,5500.263696861943,5.707
ads,10,10,29,7416.153120593945,6.0
ads,10,10,3,14547.296990099798,5.634
ads,10,10,4,6464.371929303267,5.889
ads,10,10,5,9247.403712008183,6.01
ads,10,10,6,13371.858947182991,5.803
ads,10,10,7,11616.629203403663,5.654
ads,10,10,8,6519.949020245186,5.707
ads,10,10,9,6093.91632077278,5.784
ads,11,10,0,1887492.3770695864,9.211
ads,11,10,1,154536.19062603547,9.302
ads,11,10,10,9134954.158726772,9.298
ads,11,10,11,7822.5947509577745,9.473
ads,11,10,12,860387.4997990264,9.59
ads,11,10,13,5595026.486191693,9.372
ads,11,10,14,350091.702050588,9.149
ads,11,10,15,7009615.693338202,8.92
ads,11,10,16,1145197.1259649934,8.976
ads,11,10,17,1490181.6848091064,8.772
ads,11,10,18,6037864.919623422,9.421
ads,11,10,19,1547779.1991261083,9.202
ads,11,10,2,1523658.0001701072,9.7
ads,11,10,20,209518.35523272457,9.636
ads,11,10,21,2510053.598100597,9.283
ads,11,10,22,303368.7329640337,8.871
ads,11,10,23,2398206.0449022944,9.444
ads,11,10,24,2772949.203124299,9.411
ads,11,10,25,3462431.3686111234,8.901
ads,11,10,26,7794273.83250497,9.006
ads,11,10,27,499479.4756086659,9.206
ads,11,10,28,1663212.769507052,9.522
ads,11,10,29,79123.35728700591,9.504
ads,11,10,3,164287.2757675963,9.306
ads,11,10,4,50429.203447728294,9.701
ads,11,10,5,10123329.55438128,9.607
ads,11,10,6,40437.86808656641,9.311
ads,11,10,7,2230180.7488740976,8.748
ads,11,10,8,318873.92761526286,9.469
ads,11,10,9,47164.981485789445,9.053
ads,12,10,0,7206.1010562105275,6.668
ads,12,10,1,13799.586178983298,6.844
ads,12,10,10,40318.0352615594,6.478
ads,12,10,11,19859.452133256684,6.541
ads,12,10,12,13974.862669519895,6.764
ads,12,10,13,80781.26848907383,6.454
ads,12,10,14,12219.496818755219,6.707
ads,12,10,15,9114.555101519305,6.684
ads,12,10,16,683409.0769919236,6.686
ads,12,10,17,5284.822228465836,6.922
ads,12,10,18,5950.521768587461,6.875
ads,12,10,19,12654.23143391043,6.491
ads,12,10,2,21444.73372776811,6.71
ads,12,10,20,3114.902954451328,6.405
ads,12,10,21,10769.324870326536,6.485
ads,12,10,22,4204.210761152901,6.409
ads,12,10,23,9045.98228279168,6.455
ads,12,10,24,10209.683003084672,6.55
ads,12,10,25,510049.0433881963,6.75
ads,12,10,26,5492.6868519817945,6.826
ads,12,10,27,6723.248601520345,6.672
ads,12,10,28,8999.234278579075,6.862
ads,12,10,29,3637.24932871046,6.575
ads,12,10,3,6607.144804147364,6.443
ads,12,10,4,4094.7692082670937,6.695
ads,12,10,5,6830.262113976192,6.731
ads,12,10,6,6836.8282908899455,7.169
ads,12,10,7,11955.062907511163,6.512
ads,12,10,8,260826.32501955878,6.536
ads,12,10,9,5839.988089403071,6.492
ads,13,10,0,13342.17740198051,7.222
ads,13,10,1,12013.88722079166,6.768
ads,13,10,10,8621.82787583676,6.847
ads,13,10,11,10591.746534763415,6.704
ads,13,10,12,16795.78899924425,6.947
ads,13,10,13,7286.574827089873,6.891
ads,13,10,14,16436.89136686017,6.842
ads,13,10,15,13794.562420662338,6.75
ads,13,10,16,9812.285676726671,7.034
ads,13,10,17,9863.609510993288,6.723
ads,13,10,18,14789.068294572156,6.602
ads,13,10,19,14008.52771559609,6.707
ads,13,10,2,14873.857373656814,7.11
ads,13,10,20,13447.694096846535,6.724
ads,13,10,21,10311.932176588403,6.738
ads,13,10,22,15327.371830906883,7.023
ads,13,10,23,13555.850163644052,6.89
ads,13,10,24,8383.451201288588,6.702
ads,13,10,25,13949.19397101484,7.039
ads,13,10,26,11877.863860892548,7.014
ads,13,10,27,17651.383817272617,6.963
ads,13,10,28,17176.58568302962,7.2
ads,13,10,29,14296.82696579261,6.949
ads,13,10,3,12761.478951730069,7.149
ads,13,10,4,15850.760845996694,6.824
ads,13,10,5,12169.219459365833,6.942
ads,13,10,6,17744.547130348055,6.885
ads,13,10,7,18683.856081297803,7.072
ads,13,10,8,15205.688265260396,6.679
ads,13,10,9,11850.278510893313,7.416
ads,14,10,0,113076.0170206346,6.823
ads,14,10,1,29931.797923066002,6.786
ads,14,10,10,33181.64429364207,6.572
ads,14,10,11,27285.331421616916,6.939
ads,14,10,12,312451.1185569201,6.538
ads,14,10,13,34323.11243097334,6.611
ads,14,10,14,119254.95023140685,6.664
ads,14,10,15,17285.781269334984,6.473
ads,14,10,16,159691.23140702478,6.614
ads,14,10,17,18955.508355147605,6.769
ads,14,10,18,47428.197316693906,6.561
ads,14,10,19,238454.20803922898,6.68
ads,14,10,2,90313.27303779917,6.49
ads,14,10,20,41893.938030761616,6.526
ads,14,10,21,23898.612666232104,6.827
ads,14,10,22,9991.376758536187,6.623
ads,14,10,23,26882.843693007635,6.411
ads,14,10,24,30066.54310257854,6.677
ads,14,10,25,63917.46362763479,6.64
ads,14,10,26,58849.748137493036,6.91
ads,14,10,27,35505.847581112765,6.691
ads,14,10,28,36231.281889637714,6.618
ads,14,10,29,29532.075802789237,6.878
ads,14,10,3,89132.99530173223,6.621
ads,14,10,4,42928.53970254292,6.825
ads,14,10,5,28728.917753949558,6.653
ads,14,10,6,20552.972282020113,6.731
ads,14,10,7,109602.76892180683,6.529
ads,14,10,8,79368.27233917605,6.535
ads,14,10,9,28924.40865308832,6.905
ads,15,10,0,18982.61869172133,13.686
ads,15,10,1,4837.59903794425,13.801
ads,15,10,10,981.7844409406816,13.223
ads,15,10,11,3015.3328839586857,13.234
ads,15,10,12,1714.6760415255494,13.431
ads,15,10,13,1464.914962861556,13.555
ads,15,10,14,8322.184246009,13.379
ads,15,10,15,18350.57013055381,13.436
ads,15,10,16,9135.531291737443,13.243
ads,15,10,17,1644.011449690267,13.363
ads,15,10,18,1802.8727782863002,13.413
ads,15,10,19,1551.960303541493,13.782
ads,15,10,2,3247.2092848660277,13.449
ads,15,10,20,6114.113614460543,13.58
ads,15,10,21,1051.098367886103,13.531
ads,15,10,22,4388.290928670485,12.824
ads,15,10,23,3168.586558675024,13.222
ads,15,10,24,9221.619552290154,13.152
ads,15,10,25,2530.668356344946,13.559
ads,15,10,26,383.03174704740013,12.856
ads,15,10,27,2315.7519813287554,13.335
ads,15,10,28,2350.8103348269588,13.11
ads,15,10,29,13694.635404678907,13.387
ads,15,10,3,20228.586854912806,12.852
ads,15,10,4,7352.592397727643,13.278
ads,15,10,5,26507.22601837698,13.632
ads,15,10,6,2763.7380132349745,14.048
ads,15,10,7,1418.587266905859,13.494
ads,15,10,8,3054.6306989841796,13.719
ads,15,10,9,2342.695102281896,13.648
ads,16,10,0,491.29965179649844,30.394
ads,16,10,1,99.11593992950316,30.031
ads,16,10,10,189.49885756219828,30.506
ads,16,10,11,959.3379052765913,29.9
ads,16,10,12,1410.9043401261188,29.751
ads,16,10,13,691.9771014211847,29.755
ads,16,10,14,410.94079990370324,29.369
ads,16,10,15,604.2301280565989,30.699
ads,16,10,16,245.09727561260388,29.173
ads,16,10,17,883.4480985926184,30.084
ads,16,10,18,579.5029118701177,29.8
ads,16,10,19,551.6570631755735,29.495
ads,16,10,2,967.4697347015158,29.74
ads,16,10,20,519.7094149757077,30.793
ads,16,10,21,584.9527744260613,30.219
ads,16,10,22,1006.7973787814035,29.927
ads,16,10,23,759.7405646971861,30.333
