variant,fid,dim,seed,error,seconds
shuffled,14,30,0,62444.802985139584,55.588
shuffled,14,30,1,72988.50777283956,55.488
shuffled,14,30,10,68320.15592433076,55.692
shuffled,14,30,11,75137.30464317235,55.424
shuffled,14,30,12,72494.41373977534,55.88
shuffled,14,30,13,54191.51935617153,55.686
shuffled,14,30,14,60878.63487148595,55.857
shuffled,14,30,15,88005.21895263583,55.768
shuffled,14,30,16,65063.517768131,55.972
shuffled,14,30,17,73413.59521640744,55.369
shuffled,14,30,18,54578.8109023168,55.56
shuffled,14,30,19,75410.26596181418,55.493
shuffled,14,30,2,60701.42532102024,55.639
shuffled,14,30,20,71911.70500257815,55.807
shuffled,14,30,21,67890.67756426422,55.68
shuffled,14,30,22,59393.016695762744,55.788
shuffled,14,30,23,63743.16899689715,55.597
shuffled,14,30,24,77661.76328471748,55.591
shuffled,14,30,25,64054.059144417086,55.357
shuffled,14,30,26,60082.85901157644,55.693
shuffled,14,30,27,79091.50588561376,55.367
shuffled,14,30,28,57396.53263402262,55.652
shuffled,14,30,29,77150.42963422836,55.462
shuffled,14,30,3,68753.48204557503,55.547
shuffled,14,30,4,68487.61523390439,55.541
shuffled,14,30,5,69187.32996360918,55.451
shuffled,14,30,6,67266.5451707443,55.535
shuffled,14,30,7,74176.67788360058,55.623
shuffled,14,30,8,90877.41501215046,55.733
shuffled,14,30,9,65218.77389241572,55.982
shuffled,15,30,0,5217.154194889279,132.889
shuffled,15,30,1,5501.547874738557,132.538
shuffled,15,30,10,1876.1035574008606,133.347
shuffled,15,30,11,12305.429991490171,132.252
shuffled,15,30,12,3952.7485402063776,132.503
shuffled,15,30,13,5126.286013687473,129.423
shuffled,15,30,14,5113.926955468074,132.749
shuffled,15,30,15,2471.062789700847,134.126
shuffled,15,30,16,4650.389124216277,132.837
shuffled,15,30,17,6449.000799894917,131.82
shuffled,15,30,18,2673.1925390198667,132.365
shuffled,15,30,19,8228.243077801002,132.298
shuffled,15,30,2,5988.348430586149,129.779
shuffled,15,30,20,5411.853543994652,133.539
shuffled,15,30,21,2854.9311173633705,134.003
shuffled,15,30,22,6221.92517601729,132.878
shuffled,15,30,23,5916.892998729488,132.145
shuffled,15,30,24,6161.968406510645,132.89
shuffled,15,30,25,2424.9301533901935,133.611
shuffled,15,30,26,2806.9899494369984,132.924
shuffled,15,30,27,6454.9565598515455,132.732
shuffled,15,30,28,2722.627696138079,132.985
shuffled,15,30,29,3578.746254328309,132.306
shuffled,15,30,3,5427.091470157944,133.276
shuffled,15,30,4,4002.70257393723,133.875
shuffled,15,30,5,5257.036533402055,133.179
shuffled,15,30,6,9008.139381280806,132.522
shuffled,15,30,7,5074.304737324191,132.231
shuffled,15,30,8,3977.1155169677722,132.511
shuffled,15,30,9,6797.632653825009,133.636
shuffled,16,30,0,1824.9530906668956,446.217
shuffled,16,30,1,1475.335835499452,445.075
shuffled,16,30,10,1936.7778860669669,442.815
shuffled,16,30,11,2835.482392011074,447.346
shuffled,16,30,12,1480.6993762852971,444.427
shuffled,16,30,13,1677.8575608710476,444.311
shuffled,16,30,14,1413.933986174064,443.271
shuffled,16,30,15,1163.0551967229217,443.525
shuffled,16,30,16,1291.6562785490269,442.305
shuffled,16,30,17,2126.009629562236,443.073
shuffled,16,30,18,1567.030951463123,446.555
shuffled,16,30,19,2155.2114573312765,444.702
shuffled,16,30,2,2242.4165345758365,447.684
shuffled,16,30,20,1477.563419021687,444.427
shuffled,16,30,21,2438.5486023811786,446.199
shuffled,16,30,22,1480.3287769870808,442.479
shuffled,16,30,23,2642.8013747032055,443.458
shuffled,16,30,24,916.2282954879888,442.494
shuffled,16,30,25,1601.5590246025204,449.017
shuffled,16,30,26,2500.8430500939758,444.033
shuffled,16,30,27,1559.798936598031,447.966
shuffled,16,30,28,1429.363251733569,442.648
shuffled,16,30,29,1649.8280955373025,447.694
shuffled,16,30,3,1697.8512657715187,447.865
shuffled,16,30,4,1200.149092678942,443.354
shuffled,16,30,5,1619.6873494154138,448.061
shuffled,16,30,6,2116.3747454475306,442.058
shuffled,16,30,7,1984.6697272675456,448.955
shuffled,16,30,8,1313.857064694187,447.327
shuffled,16,30,9,3372.1671260287294,448.16
shuffled,17,30,0,157243.61294667746,66.485
shuffled,17,30,1,146033.91275176528,66.816
shuffled,17,30,10,245177.95322857657,67.113
shuffled,17,30,11,146077.663803286,66.489
shuffled,17,30,12,261911.3412106086,66.833
shuffled,17,30,13,128358.95112037649,66.738
shuffled,17,30,14,270720.7966372212,66.83
shuffled,17,30,15,124314.35618754686,66.915
shuffled,17,30,16,152100.66213746875,67.071
shuffled,17,30,17,191158.1612434487,66.775
shuffled,17,30,18,82621.5746329081,66.728
shuffled,17,30,19,151277.048322255,66.543
shuffled,17,30,2,130374.85537738202,66.798
shuffled,17,30,20,139625.8657056953,66.852
shuffled,17,30,21,776670.31185859,66.931
shuffled,17,30,22,172893.94049379873,66.824
shuffled,17,30,23,199416.5549151013,66.683
shuffled,17,30,24,207573.45896466667,66.752
shuffled,17,30,25,443502.83768614015,66.948
shuffled,17,30,26,144318.00345234785,67.216
shuffled,17,30,27,331942.3147110631,66.943
shuffled,17,30,28,209027.44222043012,67.008
shuffled,17,30,29,173791.76907378944,66.428
shuffled,17,30,3,385171.3273422417,67.255
shuffled,17,30,4,88163.02607504625,66.819
shuffled,17,30,5,139184.88647530382,66.287
shuffled,17,30,6,152272.27363285882,67.072
shuffled,17,30,7,110221.05727648915,66.9
shuffled,17,30,8,425063.4246830426,67.134
shuffled,17,30,9,199725.5299398295,66.987
shuffled,18,30,0,30501.92849693447,224.4
shuffled,18,30,1,75347.2616040938,224.445
shuffled,18,30,10,60972.03327014221,225.275
shuffled,18,30,11,35902.78287473958,223.918
shuffled,18,30,12,53200.45388315208,224.175
shuffled,18,30,13,30888.310251592397,223.944
shuffled,18,30,14,46903.201741512574,224.543
shuffled,18,30,15,45607.431211783914,224.556
shuffled,18,30,16,28934.952037898922,225.767
shuffled,18,30,17,22772.715476281137,224.033
shuffled,18,30,18,41457.10894762226,224.867
shuffled,18,30,19,79866.90858206217,224.289
shuffled,18,30,2,17568.120165504883,224.189
shuffled,18,30,20,34204.01478567896,224.727
shuffled,18,30,21,29132.438044496026,224.852
shuffled,18,30,22,36933.71567245267,225.499
shuffled,18,30,23,33326.96193676667,223.986
shuffled,18,30,24,70162.10704693313,224.801
shuffled,18,30,25,32596.687309354085,224.431
shuffled,18,30,26,52260.698143927395,224.295
shuffled,18,30,27,40719.27471877935,224.494
shuffled,18,30,28,47008.8060282586,225.511
shuffled,18,30,29,57440.42673586507,224.235
shuffled,18,30,3,36034.52576087068,224.663
shuffled,18,30,4,108824.13472438382,224.836
shuffled,18,30,5,56031.33743859544,224.486
shuffled,18,30,6,48849.68793588061,224.378
shuffled,18,30,7,27063.45945072111,224.157
shuffled,18,30,8,31024.338056035536,224.353
shuffled,18,30,9,38650.43926290841,224.835
shuffled,19,30,0,1693.0207512223533,448.669
shuffled,19,30,1,2360.597392768228,454.238
shuffled,19,30,10,1815.4895707491628,449.548
shuffled,19,30,11,2398.6284772144763,452.715
shuffled,19,30,12,2327.497733969858,451.875
shuffled,19,30,13,1820.5537402926584,454.651
shuffled,19,30,14,1308.4366496695284,452.619
shuffled,19,30,15,2222.1929214950596,449.46
shuffled,19,30,16,2311.0552298174407,451.588
shuffled,19,30,17,2137.26472051852,452.858
shuffled,19,30,18,982.2241165114951,451.063
shuffled,19,30,19,2271.7120131553183,454.242
shuffled,19,30,2,807.1390677160471,455.062
shuffled,19,30,20,1496.8561244817702,454.075
shuffled,19,30,21,1273.4513190809466,452.867
shuffled,19,30,22,1624.4269694499799,451.275
shuffled,19,30,23,1572.0589203716663,451.884
shuffled,19,30,24,2371.6777583117764,452.618
shuffled,19,30,25,2542.274505565052,455.415
shuffled,19,30,26,2012.789674432187,454.107
shuffled,19,30,27,2230.350130703486,453.324
shuffled,19,30,28,1554.040083616098,451.472
shuffled,19,30,29,1566.314110056769,453.966
shuffled,19,30,3,2189.1232144054648,454.297
shuffled,19,30,4,1311.9093800603837,453.625
shuffled,19,30,5,2151.1570479363336,452.892
shuffled,19,30,6,2459.7725522990777,451.478
shuffled,19,30,7,1515.9382901578247,456.177
shuffled,19,30,8,2019.756513749332,453.045
shuffled,19,30,9,1759.0754747441338,453.591
shuffled,1,30,0,1030.436335792807,25.11
shuffled,1,30,1,1771.7321062486749,25.23
shuffled,1,30,10,4479.30435531433,25.147
shuffled,1,30,11,3466.579474442719,24.932
shuffled,1,30,12,1485.315886939491,25.19
shuffled,1,30,13,3428.372377086603,25.176
shuffled,1,30,14,83.57989560169548,25.129
shuffled,1,30,15,561.6723013564336,24.999
shuffled,1,30,16,6993.055636948218,25.189
shuffled,1,30,17,18.399145473436263,24.821
shuffled,1,30,18,921.6355616533975,25.298
shuffled,1,30,19,40.17438040753626,24.916
shuffled,1,30,2,8441.236303776968,25.124
shuffled,1,30,20,2923.906984480691,25.153
shuffled,1,30,21,3019.1667565780444,25.394
shuffled,1,30,22,395.45977320140054,25.045
shuffled,1,30,23,1359.3529336553113,25.009
shuffled,1,30,24,3244.9084013915412,25.089
shuffled,1,30,25,853.8469007360573,24.887
shuffled,1,30,26,5289.051318045716,24.957
shuffled,1,30,27,647.4867651033112,25.234
shuffled,1,30,28,2444.8208596614027,25.157
