variant,function,seed,best,seconds
ads,Quartic,1,1.2037572191117416e-09,3.365
ads,Quartic,10,3.8355870950255685e-10,3.13
ads,Quartic,11,2.560888584074437e-09,3.187
ads,Quartic,12,4.702269494545861e-09,3.245
ads,Quartic,13,4.032868510202014e-09,3.274
ads,Quartic,14,1.222341489707715e-09,3.185
ads,Quartic,15,1.7926116704153162e-10,3.25
ads,Quartic,16,1.6945699445306727e-09,3.336
ads,Quartic,17,4.92711487167028e-11,3.256
ads,Quartic,18,1.515598752667797e-13,3.227
ads,Quartic,19,3.339337449356534e-10,3.167
ads,Quartic,2,1.8603176524873007e-12,3.246
ads,Quartic,20,8.201801764013816e-09,3.219
ads,Quartic,21,2.042858536332537e-09,3.245
ads,Quartic,22,2.2334382589304384e-10,3.241
ads,Quartic,23,2.6309188385285914e-10,3.151
ads,Quartic,24,6.618353568416254e-10,3.233
ads,Quartic,25,9.566734816551382e-11,3.247
ads,Quartic,26,1.63607476522298e-09,3.342
ads,Quartic,27,2.3081140697608605e-10,3.338
ads,Quartic,28,4.075610884671472e-11,3.265
ads,Quartic,29,1.6564591711406747e-09,3.306
ads,Quartic,3,7.306125801263637e-14,3.387
ads,Quartic,4,7.852470798628744e-10,3.241
ads,Quartic,5,3.077568294503613e-09,3.18
ads,Quartic,6,2.454400989725643e-12,3.242
ads,Quartic,7,2.4251730976083192e-11,3.32
ads,Quartic,8,6.814177286413654e-10,3.355
ads,Quartic,9,1.7490690206640927e-09,3.23
ads,Rastrigin,0,0.015753284275945134,2.571
ads,Rastrigin,1,11.947788755607519,2.458
ads,Rastrigin,10,12.939881221010467,2.543
ads,Rastrigin,11,0.5412055998211258,2.461
ads,Rastrigin,12,6.123999023040653,2.494
ads,Rastrigin,13,0.3035157204467396,2.438
ads,Rastrigin,14,0.4120350109392916,2.497
ads,Rastrigin,15,12.93986258279432,2.48
ads,Rastrigin,16,3.3183306519540565,2.569
ads,Rastrigin,17,0.18570104281474187,2.437
ads,Rastrigin,18,5.085459080052374,2.531
ads,Rastrigin,19,8.961275711858605,2.405
ads,Rastrigin,2,0.03280831766619485,2.492
ads,Rastrigin,20,9.951337180104133,2.43
ads,Rastrigin,21,9.953980467665758,2.49
ads,Rastrigin,22,0.2079836830843078,2.418
ads,Rastrigin,23,19.90131494372622,2.47
ads,Rastrigin,24,0.07926643861082994,2.445
ads,Rastrigin,25,3.3988892913239397,2.487
ads,Rastrigin,26,0.062530810338842,2.513
ads,Rastrigin,27,16.920150683820793,2.585
ads,Rastrigin,28,10.948654829976135,2.489
ads,Rastrigin,29,15.92290165768651,2.426
ads,Rastrigin,3,12.937796450360622,2.443
ads,Rastrigin,4,6.216272086295021,2.524
ads,Rastrigin,5,0.709755716808047,2.518
ads,Rastrigin,6,15.925039829266325,2.421
ads,Rastrigin,7,6.967388837847977,2.466
ads,Rastrigin,8,0.4393958535802085,2.602
ads,Rastrigin,9,1.5423811749499805,2.387
ads,Rosenbrock,0,29.48764055239853,4.771
ads,Rosenbrock,1,29.084010973002812,4.841
ads,Rosenbrock,10,29.327344783022106,4.768
ads,Rosenbrock,11,60.96608407632442,4.823
ads,Rosenbrock,12,29.901107876923383,4.787
ads,Rosenbrock,13,187.6621904235013,4.808
ads,Rosenbrock,14,164.13518479081105,4.801
ads,Rosenbrock,15,48.66850137999477,4.756
ads,Rosenbrock,16,89.65329152631905,4.752
ads,Rosenbrock,17,28.41532289408397,4.748
ads,Rosenbrock,18,28.79101665319913,4.852
ads,Rosenbrock,19,28.653651978084806,4.801
ads,Rosenbrock,2,200.84210366138802,4.796
ads,Rosenbrock,20,22.592174262396313,4.833
ads,Rosenbrock,21,28.606354763306005,4.769
ads,Rosenbrock,22,28.785207613508813,4.754
ads,Rosenbrock,23,22.42695330444797,4.866
ads,Rosenbrock,24,28.54874137287077,4.963
ads,Rosenbrock,25,84.29249909722392,4.746
ads,Rosenbrock,26,25.929466000992658,4.793
ads,Rosenbrock,27,28.983110138140216,4.861
ads,Rosenbrock,28,28.97559129518871,4.791
ads,Rosenbrock,29,27.036196452412483,4.717
ads,Rosenbrock,3,45.58726496369256,4.892
ads,Rosenbrock,4,204.95266741642595,4.79
ads,Rosenbrock,5,25.212663236733494,4.918
ads,Rosenbrock,6,106.60399813701083,4.848
ads,Rosenbrock,7,23.952221717272103,4.84
ads,Rosenbrock,8,28.276348040409047,4.901
ads,Rosenbrock,9,63.66546585715115,4.84
ads,Schwefel_1_2,0,131.27847473518972,12.931
ads,Schwefel_1_2,1,132.06318546964744,12.948
ads,Schwefel_1_2,10,124.10241504391031,13.033
ads,Schwefel_1_2,11,244.4088059203454,12.869
ads,Schwefel_1_2,12,75.02086714881271,12.937
ads,Schwefel_1_2,13,48.71433133396859,12.902
ads,Schwefel_1_2,14,97.0535887246841,12.948
ads,Schwefel_1_2,15,52.94185559431326,12.865
ads,Schwefel_1_2,16,59.05396995676811,12.848
ads,Schwefel_1_2,17,48.32248269555845,12.986
ads,Schwefel_1_2,18,126.73393583541493,13.269
ads,Schwefel_1_2,19,109.2677485925273,13.178
ads,Schwefel_1_2,2,158.69159395835393,12.93
ads,Schwefel_1_2,20,99.60864464226266,13.059
ads,Schwefel_1_2,21,87.6354737468204,12.981
ads,Schwefel_1_2,22,131.29173726023748,13.106
