variant,function,seed,best,evals,seconds
social,Sphere,0,7.931263457651537e-05,105000,3.848513399992953
social,Sphere,1,0.00015201107473561656,105000,3.7686096999968868
social,Sphere,2,0.00017328927469374212,105000,3.7838463000080083
social,Sphere,3,0.0001272022341748234,105000,3.81229170000006
social,Sphere,4,0.00012916688211562997,105000,3.8019192999927327
social,Sphere,5,8.083640742533456e-05,105000,3.7993730999878608
social,Sphere,6,8.683267860568464e-05,105000,3.7929963000060525
social,Sphere,7,0.000153423102993841,105000,3.8183541000034893
social,Sphere,8,7.000548745933573e-05,105000,3.814850299997488
social,Sphere,9,0.00015414407062352994,105000,3.7352109999919776
social,Sphere,10,1.2056036898431372e-05,105000,3.772551399990334
social,Sphere,11,5.246620480313691e-05,105000,3.8239223999989918
social,Sphere,12,9.08744355423305e-05,105000,3.7930858000036096
social,Sphere,13,9.546093482879342e-05,105000,3.773548099998152
social,Sphere,14,7.914494685275922e-05,105000,3.7480942999973195
social,Sphere,15,0.0002029094335736517,105000,3.8682007000024896
social,Sphere,16,0.00013705981940772147,105000,3.750854199999594
social,Sphere,17,8.413924403071752e-05,105000,3.7785673000034876
social,Sphere,18,0.00010716345482566379,105000,3.7637157999997726
social,Sphere,19,9.810708514059347e-05,105000,3.7619670999993104
social,Sphere,20,9.788577839444737e-05,105000,3.7878320000017993
social,Sphere,21,7.059156030485135e-05,105000,3.7900347000104375
social,Sphere,22,0.00011634892607868588,105000,3.8392062000057194
social,Sphere,23,0.00012234022568836578,105000,3.801047799992375
social,Sphere,24,6.961812000913671e-05,105000,3.7436882000038167
social,Sphere,25,0.00010712760896782989,105000,3.771906600013608
social,Sphere,26,0.00019140416862287895,105000,3.7480835000023944
social,Sphere,27,0.0002172014814689384,105000,3.788109400004032
social,Sphere,28,0.00014665084540446975,105000,3.8255678999994416
social,Sphere,29,5.25034072150953e-05,105000,3.719856099996832
social,Rosenbrock,0,28.00221325878494,105000,6.228414999990491
social,Rosenbrock,1,24.56109933176022,105000,6.235784900010913
social,Rosenbrock,2,72.7521596640467,105000,6.275873700011289
social,Rosenbrock,3,336.6512540733961,105000,6.32222560000082
social,Rosenbrock,4,145.86650313439645,105000,6.328463300000294
social,Rosenbrock,5,23.346974301031484,105000,6.402128899993841
social,Rosenbrock,6,27.682197607804127,105000,7.990255400000024
social,Rosenbrock,7,28.235744980012694,105000,8.05648879999353
social,Rosenbrock,8,90.31085646878438,105000,7.971226299996488
social,Rosenbrock,9,28.464162573377422,105000,8.189319899989641
social,Rosenbrock,10,31.989411944247117,105000,8.132024199992884
social,Rosenbrock,11,28.108502243004903,105000,8.2388964999991
